filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PHF,PHF,1/31/2013,30923,37822,1.000000
PHF,PHF,1/15/2013,6750,34251,1.000000
PHF,PHF,12/31/2012,10355,36976,1.000000
PHF,PHF,12/14/2012,7374,26820,1.000000
PHF,PHF,11/30/2012,7833,41903,1.000000
PHF,PHF,11/15/2012,16715,66570,1.000000
PHF,PHF,10/31/2012,29265,25696,1.138893
PHF,PHF,10/15/2012,26515,34783,1.000000
PHF,PHF,9/28/2012,34067,33484,1.017411
PHF,PHF,9/14/2012,9695,23774,1.000000
PHF,PHF,8/31/2012,13269,28176,1.000000
PHF,PHF,8/15/2012,8596,29057,1.000000
PHF,PHF,7/31/2012,7429,27963,1.000000
PHF,PHF,7/13/2012,22955,30080,1.000000
PHF,PHF,6/29/2012,47346,36534,1.295944
PHF,PHF,6/15/2012,30012,18857,1.591558
PHF,PHF,5/31/2012,14706,47208,1.000000
PHF,PHF,5/15/2012,32524,45168,1.000000
PHF,PHF,4/30/2012,48404,31395,1.541774
PHF,PHF,4/13/2012,47554,24254,1.960666
PHF,PHF,3/30/2012,47609,25016,1.903142
PHF,PHF,3/15/2012,49044,28977,1.692515
PHF,PHF,2/29/2012,54404,31869,1.707113
PHF,PHF,2/15/2012,59043,25503,2.315139
