filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PHII,PHII,1/31/2013,2203,378,5.828042
PHII,PHII,1/15/2013,2146,204,10.519608
PHII,PHII,12/31/2012,61343,397,154.516373
PHII,PHII,12/14/2012,62637,27527,2.275475
PHII,PHII,11/30/2012,61078,140,436.271429
PHII,PHII,11/15/2012,61402,342,179.538012
PHII,PHII,10/31/2012,61126,554,110.335740
PHII,PHII,10/15/2012,62107,449,138.322940
PHII,PHII,9/28/2012,62307,581,107.240964
PHII,PHII,9/14/2012,63042,1353,46.594235
PHII,PHII,8/31/2012,62146,2425,25.627216
PHII,PHII,8/15/2012,58630,1211,48.414533
PHII,PHII,7/31/2012,58375,1375,42.454545
PHII,PHII,7/13/2012,58106,1083,53.652816
PHII,PHII,6/29/2012,58347,1966,29.678026
PHII,PHII,6/15/2012,58252,1993,29.228299
PHII,PHII,5/31/2012,57860,1248,46.362179
PHII,PHII,5/15/2012,57535,1670,34.452096
PHII,PHII,4/30/2012,56329,799,70.499374
PHII,PHII,4/13/2012,56102,2535,22.130966
PHII,PHII,3/30/2012,52635,1997,26.357036
PHII,PHII,3/15/2012,52436,403,130.114144
PHII,PHII,2/29/2012,53373,2395,22.285177
PHII,PHII,2/15/2012,51575,1929,26.736651
