filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PLCM,PLCM,1/31/2013,10986380,3417812,3.214448
PLCM,PLCM,1/15/2013,11697013,2817145,4.152081
PLCM,PLCM,12/31/2012,12375977,1552290,7.972722
PLCM,PLCM,12/14/2012,14135925,3243869,4.357736
PLCM,PLCM,11/30/2012,13532940,1802171,7.509243
PLCM,PLCM,11/15/2012,12454580,1981862,6.284282
PLCM,PLCM,10/31/2012,14525980,2432429,5.971800
PLCM,PLCM,10/15/2012,14405290,2873931,5.012399
PLCM,PLCM,9/28/2012,12849990,3355613,3.829402
PLCM,PLCM,9/14/2012,13180461,2166861,6.082744
PLCM,PLCM,8/31/2012,13884935,2543391,5.459222
PLCM,PLCM,8/15/2012,12330543,2087003,5.908254
PLCM,PLCM,7/31/2012,12422373,4052826,3.065114
PLCM,PLCM,7/13/2012,12908066,2343722,5.507507
PLCM,PLCM,6/29/2012,12872758,2620726,4.911905
PLCM,PLCM,6/15/2012,11614800,2781640,4.175522
PLCM,PLCM,5/31/2012,9498188,4158077,2.284274
PLCM,PLCM,5/15/2012,10250603,3185247,3.218150
PLCM,PLCM,4/30/2012,8468448,4726382,1.791740
PLCM,PLCM,4/13/2012,7232789,6624427,1.091836
PLCM,PLCM,3/30/2012,6502086,2279948,2.851857
PLCM,PLCM,3/15/2012,5787943,3216611,1.799392
PLCM,PLCM,2/29/2012,4789120,1753300,2.731489
PLCM,PLCM,2/15/2012,4618558,2086928,2.213089
