filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PMTI,PMTI,1/31/2013,502813,64312,7.818339
PMTI,PMTI,1/15/2013,508571,46912,10.840958
PMTI,PMTI,12/31/2012,478308,55557,8.609320
PMTI,PMTI,12/14/2012,566170,41980,13.486660
PMTI,PMTI,11/30/2012,625059,54954,11.374222
PMTI,PMTI,11/15/2012,554735,53106,10.445807
PMTI,PMTI,10/31/2012,533572,40817,13.072298
PMTI,PMTI,10/15/2012,538020,37253,14.442327
PMTI,PMTI,9/28/2012,581040,79114,7.344339
PMTI,PMTI,9/14/2012,693675,63761,10.879299
PMTI,PMTI,8/31/2012,679149,44460,15.275506
PMTI,PMTI,8/15/2012,719652,44463,16.185413
PMTI,PMTI,7/31/2012,742045,46441,15.978230
PMTI,PMTI,7/13/2012,760244,58454,13.005851
PMTI,PMTI,6/29/2012,817500,66746,12.247925
PMTI,PMTI,6/15/2012,817905,59907,13.652912
PMTI,PMTI,5/31/2012,840743,90642,9.275424
PMTI,PMTI,5/15/2012,860024,75544,11.384412
PMTI,PMTI,4/30/2012,837391,73764,11.352299
PMTI,PMTI,4/13/2012,818591,68976,11.867766
PMTI,PMTI,3/30/2012,791146,67326,11.750973
PMTI,PMTI,3/15/2012,758946,79462,9.551056
PMTI,PMTI,2/29/2012,740093,92515,7.999708
PMTI,PMTI,2/15/2012,808730,105841,7.640990
