filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PSCD,PSCD,1/31/2013,3105,8305,1.000000
PSCD,PSCD,1/15/2013,4654,8226,1.000000
PSCD,PSCD,12/31/2012,8287,9131,1.000000
PSCD,PSCD,12/14/2012,3312,5330,1.000000
PSCD,PSCD,11/30/2012,3839,5939,1.000000
PSCD,PSCD,11/15/2012,7585,8377,1.000000
PSCD,PSCD,10/31/2012,6229,13719,1.000000
PSCD,PSCD,10/15/2012,4469,7488,1.000000
PSCD,PSCD,9/28/2012,17976,8320,2.160577
PSCD,PSCD,9/14/2012,19697,14568,1.352073
PSCD,PSCD,8/31/2012,4071,3620,1.124586
PSCD,PSCD,8/15/2012,6010,12091,1.000000
PSCD,PSCD,7/31/2012,3466,5797,1.000000
PSCD,PSCD,7/13/2012,5688,3265,1.742113
PSCD,PSCD,6/29/2012,7598,7553,1.005958
PSCD,PSCD,6/15/2012,3551,12853,1.000000
PSCD,PSCD,5/31/2012,3651,5099,1.000000
PSCD,PSCD,5/15/2012,10563,8901,1.186721
PSCD,PSCD,4/30/2012,18351,14994,1.223890
PSCD,PSCD,4/13/2012,31103,17805,1.746869
PSCD,PSCD,3/30/2012,34367,7389,4.651103
PSCD,PSCD,3/15/2012,4983,9506,1.000000
PSCD,PSCD,2/29/2012,19698,6736,2.924287
PSCD,PSCD,2/15/2012,62494,17660,3.538732
