filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PVFC,PVFC,1/31/2013,6982,21202,1.000000
PVFC,PVFC,1/15/2013,10679,9388,1.137516
PVFC,PVFC,12/31/2012,5758,11947,1.000000
PVFC,PVFC,12/14/2012,5248,4690,1.118977
PVFC,PVFC,11/30/2012,7480,3902,1.916966
PVFC,PVFC,11/15/2012,5780,10506,1.000000
PVFC,PVFC,10/31/2012,6674,15569,1.000000
PVFC,PVFC,10/15/2012,7428,8846,1.000000
PVFC,PVFC,9/28/2012,9494,10453,1.000000
PVFC,PVFC,9/14/2012,7777,11246,1.000000
PVFC,PVFC,8/31/2012,7463,13347,1.000000
PVFC,PVFC,8/15/2012,6006,5899,1.018139
PVFC,PVFC,7/31/2012,8496,8068,1.053049
PVFC,PVFC,7/13/2012,9552,6116,1.561805
PVFC,PVFC,6/29/2012,13118,4714,2.782775
PVFC,PVFC,6/15/2012,11278,10920,1.032784
PVFC,PVFC,5/31/2012,8323,16792,1.000000
PVFC,PVFC,5/15/2012,7726,7568,1.020877
PVFC,PVFC,4/30/2012,9978,20086,1.000000
PVFC,PVFC,4/13/2012,7575,10471,1.000000
PVFC,PVFC,3/30/2012,7667,13533,1.000000
PVFC,PVFC,3/15/2012,8427,6615,1.273923
PVFC,PVFC,2/29/2012,14344,17675,1.000000
PVFC,PVFC,2/15/2012,7878,10754,1.000000
