filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
QADA,QADA,1/31/2013,117907,11224,10.504900
QADA,QADA,1/15/2013,123288,13497,9.134474
QADA,QADA,12/31/2012,127801,13885,9.204249
QADA,QADA,12/14/2012,137392,9141,15.030303
QADA,QADA,11/30/2012,139715,13379,10.442858
QADA,QADA,11/15/2012,128152,9022,14.204389
QADA,QADA,10/31/2012,122146,8398,14.544653
QADA,QADA,10/15/2012,124909,12191,10.246001
QADA,QADA,9/28/2012,139977,15752,8.886300
QADA,QADA,9/14/2012,160344,13262,12.090484
QADA,QADA,8/31/2012,163227,11807,13.824596
QADA,QADA,8/15/2012,181742,13205,13.763120
QADA,QADA,7/31/2012,193828,11049,17.542583
QADA,QADA,7/13/2012,196848,14666,13.422065
QADA,QADA,6/29/2012,218213,31263,6.979912
QADA,QADA,6/15/2012,220048,15411,14.278632
QADA,QADA,5/31/2012,206454,12065,17.111811
QADA,QADA,5/15/2012,200934,11071,18.149580
QADA,QADA,4/30/2012,182050,10238,17.781793
QADA,QADA,4/13/2012,152630,16041,9.514993
QADA,QADA,3/30/2012,137775,16311,8.446754
QADA,QADA,3/15/2012,164698,10905,15.102980
QADA,QADA,2/29/2012,140555,8233,17.072149
QADA,QADA,2/15/2012,148818,13333,11.161629
