filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RIVR,RIVR,1/31/2013,3731,404,9.235149
RIVR,RIVR,1/15/2013,3073,332,9.256024
RIVR,RIVR,12/31/2012,2862,568,5.038732
RIVR,RIVR,12/14/2012,2587,719,3.598053
RIVR,RIVR,11/30/2012,2287,276,8.286232
RIVR,RIVR,11/15/2012,2587,82,31.548780
RIVR,RIVR,10/31/2012,2912,303,9.610561
RIVR,RIVR,10/15/2012,3145,260,12.096154
RIVR,RIVR,9/28/2012,3274,1708,1.916862
RIVR,RIVR,9/14/2012,2846,509,5.591356
RIVR,RIVR,8/31/2012,3026,614,4.928339
RIVR,RIVR,8/15/2012,2636,716,3.681564
RIVR,RIVR,7/31/2012,1536,905,1.697238
RIVR,RIVR,7/13/2012,1141,184,6.201087
RIVR,RIVR,6/29/2012,1406,153,9.189542
RIVR,RIVR,6/15/2012,1303,435,2.995402
RIVR,RIVR,5/31/2012,954,113,8.442478
RIVR,RIVR,5/15/2012,853,89,9.584270
RIVR,RIVR,4/30/2012,401,294,1.363946
RIVR,RIVR,4/13/2012,400,124,3.225806
RIVR,RIVR,3/30/2012,400,201,1.990050
RIVR,RIVR,3/15/2012,400,535,1.000000
RIVR,RIVR,2/29/2012,414,819,1.000000
RIVR,RIVR,2/15/2012,712,361,1.972299
