filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RUSHB,RUSHB,1/31/2013,7548,38961,1.000000
RUSHB,RUSHB,1/15/2013,8454,16013,1.000000
RUSHB,RUSHB,12/31/2012,12205,3748,3.256403
RUSHB,RUSHB,12/14/2012,15271,5675,2.690925
RUSHB,RUSHB,11/30/2012,14065,2722,5.167157
RUSHB,RUSHB,11/15/2012,20826,1978,10.528817
RUSHB,RUSHB,10/31/2012,21649,7629,2.837724
RUSHB,RUSHB,10/15/2012,29210,2150,13.586047
RUSHB,RUSHB,9/28/2012,33703,6459,5.217990
RUSHB,RUSHB,9/14/2012,30633,7270,4.213618
RUSHB,RUSHB,8/31/2012,24469,7257,3.371779
RUSHB,RUSHB,8/15/2012,23749,12117,1.959974
RUSHB,RUSHB,7/31/2012,20486,14551,1.407876
RUSHB,RUSHB,7/13/2012,17495,31229,1.000000
RUSHB,RUSHB,6/29/2012,19636,4914,3.995930
RUSHB,RUSHB,6/15/2012,19264,8560,2.250467
RUSHB,RUSHB,5/31/2012,27269,22907,1.190422
RUSHB,RUSHB,5/15/2012,26678,20760,1.285067
RUSHB,RUSHB,4/30/2012,25535,16711,1.528035
RUSHB,RUSHB,4/13/2012,25272,10321,2.448600
RUSHB,RUSHB,3/30/2012,20975,24010,1.000000
RUSHB,RUSHB,3/15/2012,24505,5307,4.617486
RUSHB,RUSHB,2/29/2012,20464,6066,3.373558
RUSHB,RUSHB,2/15/2012,27445,9869,2.780930
