filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SASR,SASR,1/31/2013,427398,43950,9.724642
SASR,SASR,1/15/2013,427039,47998,8.897017
SASR,SASR,12/31/2012,425508,47905,8.882330
SASR,SASR,12/14/2012,543080,39456,13.764193
SASR,SASR,11/30/2012,566234,42352,13.369711
SASR,SASR,11/15/2012,505718,35041,14.432179
SASR,SASR,10/31/2012,475120,35342,13.443495
SASR,SASR,10/15/2012,466963,25979,17.974633
SASR,SASR,9/28/2012,509511,42720,11.926756
SASR,SASR,9/14/2012,617338,45506,13.566079
SASR,SASR,8/31/2012,614116,42751,14.364951
SASR,SASR,8/15/2012,636713,44580,14.282481
SASR,SASR,7/31/2012,673688,54768,12.300760
SASR,SASR,7/13/2012,711957,38224,18.625916
SASR,SASR,6/29/2012,746585,50379,14.819369
SASR,SASR,6/15/2012,775753,59567,13.023201
SASR,SASR,5/31/2012,870131,57177,15.218200
SASR,SASR,5/15/2012,745183,54188,13.751809
SASR,SASR,4/30/2012,714582,65440,10.919652
SASR,SASR,4/13/2012,653392,43854,14.899257
SASR,SASR,3/30/2012,624858,42437,14.724368
SASR,SASR,3/15/2012,653023,58946,11.078326
SASR,SASR,2/29/2012,621793,37009,16.801129
SASR,SASR,2/15/2012,629157,47509,13.242901
