filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SBAC,SBAC,1/31/2013,18751897,1495587,12.538152
SBAC,SBAC,1/15/2013,19181885,2452383,7.821733
SBAC,SBAC,12/31/2012,19665105,2032469,9.675476
SBAC,SBAC,12/14/2012,18103555,1189060,15.225098
SBAC,SBAC,11/30/2012,18206076,948833,19.187861
SBAC,SBAC,11/15/2012,17824539,1235925,14.422023
SBAC,SBAC,10/31/2012,17651654,1021449,17.280994
SBAC,SBAC,10/15/2012,17536299,2435857,7.199232
SBAC,SBAC,9/28/2012,16905258,1339158,12.623796
SBAC,SBAC,9/14/2012,17593717,1163822,15.117189
SBAC,SBAC,8/31/2012,17430509,1307452,13.331663
SBAC,SBAC,8/15/2012,16686174,1489562,11.202067
SBAC,SBAC,7/31/2012,16128787,1493233,10.801253
SBAC,SBAC,7/13/2012,15829465,1362639,11.616771
SBAC,SBAC,6/29/2012,15590372,2455036,6.350364
SBAC,SBAC,6/15/2012,13780147,1084628,12.704952
SBAC,SBAC,5/31/2012,13095751,1436752,9.114831
SBAC,SBAC,5/15/2012,12520370,1781873,7.026522
SBAC,SBAC,4/30/2012,12037650,1719819,6.999370
SBAC,SBAC,4/13/2012,11856647,2250415,5.268649
SBAC,SBAC,3/30/2012,11710872,1401310,8.357089
SBAC,SBAC,3/15/2012,11886085,1894903,6.272661
SBAC,SBAC,2/29/2012,10687809,1524192,7.012115
SBAC,SBAC,2/15/2012,10946061,1036756,10.557991
