filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SBI,SBI,1/31/2013,34899,22046,1.583008
SBI,SBI,1/15/2013,9521,15998,1.000000
SBI,SBI,12/31/2012,14527,25621,1.000000
SBI,SBI,12/14/2012,8646,33722,1.000000
SBI,SBI,11/30/2012,7089,23236,1.000000
SBI,SBI,11/15/2012,11372,21439,1.000000
SBI,SBI,10/31/2012,6700,23978,1.000000
SBI,SBI,10/15/2012,5443,25625,1.000000
SBI,SBI,9/28/2012,5083,18021,1.000000
SBI,SBI,9/14/2012,5065,21988,1.000000
SBI,SBI,8/31/2012,5597,26052,1.000000
SBI,SBI,8/15/2012,15334,17762,1.000000
SBI,SBI,7/31/2012,22000,34605,1.000000
SBI,SBI,7/13/2012,9915,17516,1.000000
SBI,SBI,6/29/2012,11183,24552,1.000000
SBI,SBI,6/15/2012,8818,23794,1.000000
SBI,SBI,5/31/2012,23834,57854,1.000000
SBI,SBI,5/15/2012,7415,23706,1.000000
SBI,SBI,4/30/2012,1815,26019,1.000000
SBI,SBI,4/13/2012,748,17592,1.000000
SBI,SBI,3/30/2012,12198,24838,1.000000
SBI,SBI,3/15/2012,10626,26019,1.000000
SBI,SBI,2/29/2012,13960,22757,1.000000
SBI,SBI,2/15/2012,17629,44786,1.000000
