filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SIVBO,SIVBO,1/31/2013,257,1850,1.000000
SIVBO,SIVBO,1/15/2013,652,1606,1.000000
SIVBO,SIVBO,12/31/2012,1150,1041,1.104707
SIVBO,SIVBO,12/14/2012,2778,1124,2.471530
SIVBO,SIVBO,11/30/2012,2565,810,3.166667
SIVBO,SIVBO,11/15/2012,3470,1858,1.867600
SIVBO,SIVBO,10/31/2012,233,657,1.000000
SIVBO,SIVBO,10/15/2012,38,561,1.000000
SIVBO,SIVBO,9/28/2012,303,1163,1.000000
SIVBO,SIVBO,9/14/2012,233,350,1.000000
SIVBO,SIVBO,8/31/2012,286,1078,1.000000
SIVBO,SIVBO,8/15/2012,1087,571,1.903678
SIVBO,SIVBO,7/31/2012,305,1655,1.000000
SIVBO,SIVBO,7/13/2012,69,1075,1.000000
SIVBO,SIVBO,6/29/2012,109,1822,1.000000
SIVBO,SIVBO,6/15/2012,30,777,1.000000
SIVBO,SIVBO,5/31/2012,30,684,1.000000
SIVBO,SIVBO,5/15/2012,30,943,1.000000
SIVBO,SIVBO,4/30/2012,94,1288,1.000000
SIVBO,SIVBO,4/13/2012,194,553,1.000000
SIVBO,SIVBO,3/30/2012,30,1523,1.000000
SIVBO,SIVBO,3/15/2012,30,692,1.000000
SIVBO,SIVBO,2/29/2012,231,1145,1.000000
SIVBO,SIVBO,2/15/2012,130,1137,1.000000
