filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SMBC,SMBC,1/31/2013,702,1148,1.000000
SMBC,SMBC,1/15/2013,807,1865,1.000000
SMBC,SMBC,12/31/2012,564,2586,1.000000
SMBC,SMBC,12/14/2012,627,2263,1.000000
SMBC,SMBC,11/30/2012,1037,416,2.492788
SMBC,SMBC,11/15/2012,1672,733,2.281037
SMBC,SMBC,10/31/2012,1603,1739,1.000000
SMBC,SMBC,10/15/2012,2208,870,2.537931
SMBC,SMBC,9/28/2012,4118,8564,1.000000
SMBC,SMBC,9/14/2012,1703,538,3.165428
SMBC,SMBC,8/31/2012,1924,763,2.521625
SMBC,SMBC,8/15/2012,1395,1811,1.000000
SMBC,SMBC,7/31/2012,739,333,2.219219
SMBC,SMBC,7/13/2012,730,1346,1.000000
SMBC,SMBC,6/29/2012,2020,1540,1.311688
SMBC,SMBC,6/15/2012,1712,1797,1.000000
SMBC,SMBC,5/31/2012,2704,1235,2.189474
SMBC,SMBC,5/15/2012,2632,537,4.901304
SMBC,SMBC,4/30/2012,2144,1894,1.131996
SMBC,SMBC,4/13/2012,2090,1604,1.302993
SMBC,SMBC,3/30/2012,3973,1634,2.431457
SMBC,SMBC,3/15/2012,3018,2101,1.436459
SMBC,SMBC,2/29/2012,952,1761,1.000000
SMBC,SMBC,2/15/2012,1232,1972,1.000000
