filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SUNS,SUNS,1/31/2013,160967,174252,1.000000
SUNS,SUNS,1/15/2013,239062,204037,1.171660
SUNS,SUNS,12/31/2012,241540,30998,7.792116
SUNS,SUNS,12/14/2012,275406,38780,7.101753
SUNS,SUNS,11/30/2012,269596,52610,5.124425
SUNS,SUNS,11/15/2012,224888,31418,7.157935
SUNS,SUNS,10/31/2012,205319,33162,6.191394
SUNS,SUNS,10/15/2012,202295,26706,7.574890
SUNS,SUNS,9/28/2012,224512,47513,4.725275
SUNS,SUNS,9/14/2012,266428,44193,6.028738
SUNS,SUNS,8/31/2012,290433,39942,7.271368
SUNS,SUNS,8/15/2012,277359,56678,4.893592
SUNS,SUNS,7/31/2012,324373,30500,10.635180
SUNS,SUNS,7/13/2012,337213,37639,8.959138
SUNS,SUNS,6/29/2012,347023,44039,7.879902
SUNS,SUNS,6/15/2012,284386,24709,11.509410
SUNS,SUNS,5/31/2012,274842,28242,9.731676
SUNS,SUNS,5/15/2012,277413,55205,5.025143
SUNS,SUNS,4/30/2012,257148,35693,7.204438
SUNS,SUNS,4/13/2012,236389,26688,8.857501
SUNS,SUNS,3/30/2012,217000,22416,9.680585
SUNS,SUNS,3/15/2012,237552,24571,9.667983
SUNS,SUNS,2/29/2012,201514,29186,6.904475
SUNS,SUNS,2/15/2012,225784,26265,8.596383
