filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SURG,SURG,1/31/2013,86775,43764,1.982794
SURG,SURG,1/15/2013,84448,85853,1.000000
SURG,SURG,12/31/2012,85631,78981,1.084197
SURG,SURG,12/14/2012,80039,103899,1.000000
SURG,SURG,11/30/2012,69177,38783,1.783694
SURG,SURG,11/15/2012,72673,31335,2.319228
SURG,SURG,10/31/2012,81880,61682,1.327454
SURG,SURG,10/15/2012,119076,109141,1.091029
SURG,SURG,9/28/2012,136938,144016,1.000000
SURG,SURG,9/14/2012,160042,66022,2.424071
SURG,SURG,8/31/2012,152225,73186,2.079974
SURG,SURG,8/15/2012,124322,58394,2.129020
SURG,SURG,7/31/2012,282347,90309,3.126455
SURG,SURG,7/13/2012,304723,94526,3.223695
SURG,SURG,6/29/2012,179429,701093,1.000000
SURG,SURG,6/15/2012,1022728,251830,4.061184
SURG,SURG,5/31/2012,703437,163361,4.306028
SURG,SURG,5/15/2012,679477,63316,10.731521
SURG,SURG,4/30/2012,645838,58376,11.063416
SURG,SURG,4/13/2012,701858,87260,8.043296
SURG,SURG,3/30/2012,623320,110503,5.640752
SURG,SURG,3/15/2012,713640,177950,4.010340
SURG,SURG,2/29/2012,743843,50840,14.631058
SURG,SURG,2/15/2012,751437,86473,8.689845
