filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SYNC,SYNC,1/31/2013,1909689,385521,4.953528
SYNC,SYNC,1/15/2013,1796464,474944,3.782475
SYNC,SYNC,12/31/2012,2212452,575839,3.842136
SYNC,SYNC,12/14/2012,2053068,864231,2.375601
SYNC,SYNC,11/30/2012,1772458,1044826,1.696415
SYNC,SYNC,11/15/2012,1529974,591192,2.587948
SYNC,SYNC,10/31/2012,2032267,707059,2.874254
SYNC,SYNC,10/15/2012,1232559,665427,1.852283
SYNC,SYNC,9/28/2012,1116331,607782,1.836729
SYNC,SYNC,9/14/2012,1402652,808025,1.735902
SYNC,SYNC,8/31/2012,1984596,681847,2.910618
SYNC,SYNC,8/15/2012,2517760,823805,3.056257
SYNC,SYNC,7/31/2012,2792338,1248857,2.235915
SYNC,SYNC,7/13/2012,2990460,1291703,2.315130
SYNC,SYNC,6/29/2012,2962082,800106,3.702112
SYNC,SYNC,6/15/2012,2798734,887669,3.152903
SYNC,SYNC,5/31/2012,2460028,1029000,2.390698
SYNC,SYNC,5/15/2012,2328233,2177648,1.069150
SYNC,SYNC,4/30/2012,63314,150590,1.000000
SYNC,SYNC,4/13/2012,41785,134703,1.000000
SYNC,SYNC,3/30/2012,15883,318393,1.000000
SYNC,SYNC,3/15/2012,115270,112708,1.022731
SYNC,SYNC,2/29/2012,87353,108875,1.000000
SYNC,SYNC,2/15/2012,147283,413911,1.000000
