filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SZYM,SZYM,1/31/2013,8278659,967290,8.558611
SZYM,SZYM,1/15/2013,7028951,381826,18.408780
SZYM,SZYM,12/31/2012,6866081,570373,12.037879
SZYM,SZYM,12/14/2012,7263160,621156,11.692972
SZYM,SZYM,11/30/2012,6901786,595703,11.585951
SZYM,SZYM,11/15/2012,6042511,573120,10.543186
SZYM,SZYM,10/31/2012,5137929,577168,8.901964
SZYM,SZYM,10/15/2012,4136884,320854,12.893353
SZYM,SZYM,9/28/2012,4172223,305610,13.652115
SZYM,SZYM,9/14/2012,4465827,313404,14.249426
SZYM,SZYM,8/31/2012,4697082,196469,23.907497
SZYM,SZYM,8/15/2012,4799754,320622,14.970133
SZYM,SZYM,7/31/2012,5327594,361621,14.732535
SZYM,SZYM,7/13/2012,5904965,389418,15.163565
SZYM,SZYM,6/29/2012,6165756,950364,6.487784
SZYM,SZYM,6/15/2012,6134016,575157,10.664942
SZYM,SZYM,5/31/2012,7002177,388539,18.021812
SZYM,SZYM,5/15/2012,7036867,635730,11.068955
SZYM,SZYM,4/30/2012,6477763,608957,10.637472
SZYM,SZYM,4/13/2012,6170018,960714,6.422325
SZYM,SZYM,3/30/2012,5442350,498885,10.909027
SZYM,SZYM,3/15/2012,5157882,733043,7.036261
SZYM,SZYM,2/29/2012,4501421,783056,5.748530
SZYM,SZYM,2/15/2012,4195123,195534,21.454698
