filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TA,TA,1/31/2013,383868,617749,1.000000
TA,TA,1/15/2013,158725,237406,1.000000
TA,TA,12/31/2012,147469,113739,1.296556
TA,TA,12/14/2012,133063,108896,1.221927
TA,TA,11/30/2012,155893,96517,1.615187
TA,TA,11/15/2012,171334,126151,1.358166
TA,TA,10/31/2012,179067,89861,1.992711
TA,TA,10/15/2012,170469,68701,2.481318
TA,TA,9/28/2012,188987,75332,2.508721
TA,TA,9/14/2012,173622,85610,2.028057
TA,TA,8/31/2012,163622,82243,1.989495
TA,TA,8/15/2012,93376,153268,1.000000
TA,TA,7/31/2012,131489,96823,1.358035
TA,TA,7/13/2012,282881,94046,3.007900
TA,TA,6/29/2012,298385,89295,3.341564
TA,TA,6/15/2012,367129,233982,1.569048
TA,TA,5/31/2012,226182,94298,2.398587
TA,TA,5/15/2012,220430,288427,1.000000
TA,TA,4/30/2012,174655,149992,1.164429
TA,TA,4/13/2012,172916,247211,1.000000
TA,TA,3/30/2012,259661,464429,1.000000
TA,TA,3/15/2012,123796,290514,1.000000
TA,TA,2/29/2012,138003,99941,1.380845
TA,TA,2/15/2012,166420,190047,1.000000
