filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
THFF,THFF,1/31/2013,188607,39402,4.786737
THFF,THFF,1/15/2013,193812,23603,8.211329
THFF,THFF,12/31/2012,193987,39240,4.943603
THFF,THFF,12/14/2012,246601,23395,10.540757
THFF,THFF,11/30/2012,264498,21871,12.093549
THFF,THFF,11/15/2012,227329,23005,9.881721
THFF,THFF,10/31/2012,205369,21033,9.764133
THFF,THFF,10/15/2012,208634,26014,8.020066
THFF,THFF,9/28/2012,222525,31295,7.110561
THFF,THFF,9/14/2012,279570,27682,10.099343
THFF,THFF,8/31/2012,286883,24149,11.879705
THFF,THFF,8/15/2012,299318,28826,10.383612
THFF,THFF,7/31/2012,315837,29305,10.777581
THFF,THFF,7/13/2012,335294,28695,11.684753
THFF,THFF,6/29/2012,347543,32262,10.772519
THFF,THFF,6/15/2012,358670,36663,9.782887
THFF,THFF,5/31/2012,331476,43933,7.545034
THFF,THFF,5/15/2012,279725,35343,7.914580
THFF,THFF,4/30/2012,247429,28990,8.534978
THFF,THFF,4/13/2012,218740,28011,7.809075
THFF,THFF,3/30/2012,193886,24251,7.994969
THFF,THFF,3/15/2012,206198,24410,8.447276
THFF,THFF,2/29/2012,201714,30188,6.681927
THFF,THFF,2/15/2012,218087,24508,8.898605
