filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TIGR,TIGR,1/31/2013,317626,9816,32.357987
TIGR,TIGR,1/15/2013,319856,8724,36.663916
TIGR,TIGR,12/31/2012,315305,15854,19.888041
TIGR,TIGR,12/14/2012,317381,21667,14.648128
TIGR,TIGR,11/30/2012,324363,4249,76.338668
TIGR,TIGR,11/15/2012,329049,5997,54.868934
TIGR,TIGR,10/31/2012,332156,4185,79.368220
TIGR,TIGR,10/15/2012,349217,11371,30.711195
TIGR,TIGR,9/28/2012,349842,8167,42.836048
TIGR,TIGR,9/14/2012,350503,8977,39.044558
TIGR,TIGR,8/31/2012,350100,19449,18.000925
TIGR,TIGR,8/15/2012,349987,13876,25.222470
TIGR,TIGR,7/31/2012,353458,3565,99.146704
TIGR,TIGR,7/13/2012,356924,6841,52.174244
TIGR,TIGR,6/29/2012,356743,18472,19.312635
TIGR,TIGR,6/15/2012,349563,11169,31.297609
TIGR,TIGR,5/31/2012,349494,2037,171.572901
TIGR,TIGR,5/15/2012,349323,5566,62.760151
TIGR,TIGR,4/30/2012,349624,13417,26.058284
TIGR,TIGR,4/13/2012,350996,4572,76.770779
TIGR,TIGR,3/30/2012,349729,9432,37.078986
TIGR,TIGR,3/15/2012,352545,3905,90.280410
TIGR,TIGR,2/29/2012,363501,4994,72.787545
TIGR,TIGR,2/15/2012,362921,8405,43.179179
