filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UPG,UPG,1/31/2013,1390,1406,1.000000
UPG,UPG,1/15/2013,1922,3946,1.000000
UPG,UPG,12/31/2012,792,4721,1.000000
UPG,UPG,11/30/2012,94,3121,1.000000
UPG,UPG,11/15/2012,828,5315,1.000000
UPG,UPG,10/31/2012,813,450,1.806667
UPG,UPG,10/15/2012,813,690,1.178261
UPG,UPG,9/28/2012,2536,4754,1.000000
UPG,UPG,9/14/2012,1775,1303,1.362241
UPG,UPG,8/31/2012,1733,4159,1.000000
UPG,UPG,8/15/2012,2651,2487,1.065943
UPG,UPG,7/31/2012,2903,2051,1.415407
UPG,UPG,7/13/2012,3218,835,3.853892
UPG,UPG,6/29/2012,3318,601,5.520799
UPG,UPG,6/15/2012,2878,501,5.744511
UPG,UPG,5/31/2012,3809,1100,3.462727
UPG,UPG,5/15/2012,5346,3896,1.372177
UPG,UPG,4/30/2012,2800,1411,1.984408
UPG,UPG,4/13/2012,1445,771,1.874189
UPG,UPG,3/30/2012,1777,2107,1.000000
UPG,UPG,3/15/2012,1445,1371,1.053975
UPG,UPG,2/29/2012,1445,2038,1.000000
UPG,UPG,2/15/2012,2045,2751,1.000000
UPG,UPG,,,,
