filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UTHR,UTHR,1/31/2013,3597704,448979,8.013079
UTHR,UTHR,1/15/2013,3984437,673108,5.919462
UTHR,UTHR,12/31/2012,4136645,520792,7.942989
UTHR,UTHR,12/14/2012,4591365,584987,7.848662
UTHR,UTHR,11/30/2012,4808939,628772,7.648144
UTHR,UTHR,11/15/2012,4905620,847495,5.788376
UTHR,UTHR,10/31/2012,4298180,1187051,3.620889
UTHR,UTHR,10/15/2012,3911713,726048,5.387678
UTHR,UTHR,9/28/2012,4050960,803880,5.039260
UTHR,UTHR,9/14/2012,4607045,646317,7.128151
UTHR,UTHR,8/31/2012,4389908,452512,9.701197
UTHR,UTHR,8/15/2012,4443939,561507,7.914307
UTHR,UTHR,7/31/2012,4183357,793605,5.271334
UTHR,UTHR,7/13/2012,3925242,627944,6.250943
UTHR,UTHR,6/29/2012,3751220,550352,6.816038
UTHR,UTHR,6/15/2012,3497768,640469,5.461260
UTHR,UTHR,5/31/2012,3423056,763538,4.483151
UTHR,UTHR,5/15/2012,3051005,733102,4.161774
UTHR,UTHR,4/30/2012,2983435,1040619,2.866981
UTHR,UTHR,4/13/2012,3573091,798883,4.472609
UTHR,UTHR,3/30/2012,3757453,556373,6.753478
UTHR,UTHR,3/15/2012,3983013,681855,5.841437
UTHR,UTHR,2/29/2012,4405335,830820,5.302394
UTHR,UTHR,2/15/2012,4453989,833828,5.341616
