filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
VGZ,VGZ,1/31/2013,1858452,448460,4.144075
VGZ,VGZ,1/15/2013,1907120,391106,4.876223
VGZ,VGZ,12/31/2012,2284837,688828,3.316992
VGZ,VGZ,12/14/2012,2843207,454538,6.255158
VGZ,VGZ,11/30/2012,2639557,263926,10.001125
VGZ,VGZ,11/15/2012,2730266,309924,8.809469
VGZ,VGZ,10/31/2012,2829124,219790,12.871941
VGZ,VGZ,10/15/2012,2914310,273741,10.646231
VGZ,VGZ,9/28/2012,3272573,1113757,2.938319
VGZ,VGZ,9/14/2012,3558261,586507,6.066869
VGZ,VGZ,8/31/2012,3733286,426096,8.761608
VGZ,VGZ,8/15/2012,4103069,237194,17.298368
VGZ,VGZ,7/31/2012,4441675,215606,20.600888
VGZ,VGZ,7/13/2012,4603244,256059,17.977279
VGZ,VGZ,6/29/2012,4914773,438477,11.208736
VGZ,VGZ,6/15/2012,5448672,619755,8.791655
VGZ,VGZ,5/31/2012,5702537,411911,13.844100
VGZ,VGZ,5/15/2012,5544716,360906,15.363325
VGZ,VGZ,4/30/2012,5724053,314949,18.174539
VGZ,VGZ,4/13/2012,5596697,428283,13.067754
VGZ,VGZ,3/30/2012,5582392,523008,10.673626
VGZ,VGZ,3/15/2012,5768512,427722,13.486592
VGZ,VGZ,2/29/2012,5716910,488217,11.709772
VGZ,VGZ,2/15/2012,5360601,480320,11.160478
