filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
VNET,VNET,1/31/2013,1868123,280353,6.663467
VNET,VNET,1/15/2013,1714757,139961,12.251677
VNET,VNET,12/31/2012,1683020,296827,5.670037
VNET,VNET,12/14/2012,1756839,311404,5.641671
VNET,VNET,11/30/2012,1926130,136713,14.088858
VNET,VNET,11/15/2012,2067150,279397,7.398612
VNET,VNET,10/31/2012,2018643,218053,9.257580
VNET,VNET,10/15/2012,1575630,181325,8.689535
VNET,VNET,9/28/2012,1391030,390172,3.565171
VNET,VNET,9/14/2012,1377420,281510,4.892970
VNET,VNET,8/31/2012,1339417,758798,1.765183
VNET,VNET,8/15/2012,1269714,241701,5.253243
VNET,VNET,7/31/2012,1348295,292897,4.603308
VNET,VNET,7/13/2012,1371005,99258,13.812539
VNET,VNET,6/29/2012,1347646,345083,3.905281
VNET,VNET,6/15/2012,1093414,208605,5.241552
VNET,VNET,5/31/2012,1661308,472633,3.515006
VNET,VNET,5/15/2012,1837754,357897,5.134868
VNET,VNET,4/30/2012,1661433,247570,6.710963
VNET,VNET,4/13/2012,1636355,255709,6.399286
VNET,VNET,3/30/2012,1652111,315563,5.235440
VNET,VNET,3/15/2012,1718088,414500,4.144965
VNET,VNET,2/29/2012,1789604,475089,3.766882
VNET,VNET,2/15/2012,1808693,292491,6.183756
