filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WCBO,WCBO,1/31/2013,447112,82557,5.415798
WCBO,WCBO,1/15/2013,468374,71876,6.516417
WCBO,WCBO,12/31/2012,493124,166355,2.964287
WCBO,WCBO,12/14/2012,593024,94493,6.275851
WCBO,WCBO,11/30/2012,634318,45616,13.905603
WCBO,WCBO,11/15/2012,562773,39835,14.127601
WCBO,WCBO,10/31/2012,500473,60354,8.292292
WCBO,WCBO,10/15/2012,465838,156946,2.968142
WCBO,WCBO,9/28/2012,491591,347875,1.413125
WCBO,WCBO,9/14/2012,583568,73269,7.964733
WCBO,WCBO,8/31/2012,618018,51640,11.967816
WCBO,WCBO,8/15/2012,635458,40142,15.830253
WCBO,WCBO,7/31/2012,658410,39837,16.527600
WCBO,WCBO,7/13/2012,695748,37095,18.755843
WCBO,WCBO,6/29/2012,727122,51909,14.007629
WCBO,WCBO,6/15/2012,753567,59979,12.563847
WCBO,WCBO,5/31/2012,754304,61147,12.335912
WCBO,WCBO,5/15/2012,694312,61114,11.360932
WCBO,WCBO,4/30/2012,631163,68157,9.260428
WCBO,WCBO,4/13/2012,594052,61660,9.634317
WCBO,WCBO,3/30/2012,556340,82886,6.712111
WCBO,WCBO,3/15/2012,576941,90162,6.398937
WCBO,WCBO,2/29/2012,521874,51460,10.141353
WCBO,WCBO,2/15/2012,513607,104589,4.910717
