filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WFM,WFM,1/31/2013,3343862,1554020,2.151750
WFM,WFM,1/15/2013,3481733,1901598,1.830951
WFM,WFM,12/31/2012,3773665,1291520,2.921879
WFM,WFM,12/14/2012,3719695,1432668,2.596341
WFM,WFM,11/30/2012,3819975,1840958,2.074993
WFM,WFM,11/15/2012,4325671,1898457,2.278519
WFM,WFM,10/31/2012,4526120,1308836,3.458126
WFM,WFM,10/15/2012,4922279,1088209,4.523285
WFM,WFM,9/28/2012,4969099,1560791,3.183706
WFM,WFM,9/14/2012,4966027,1290723,3.847477
WFM,WFM,8/31/2012,5070013,1263153,4.013776
WFM,WFM,8/15/2012,4819878,1194257,4.035880
WFM,WFM,7/31/2012,4464072,3112247,1.434357
WFM,WFM,7/13/2012,5003641,1406770,3.556829
WFM,WFM,6/29/2012,5805011,2130347,2.724913
WFM,WFM,6/15/2012,5911423,2303762,2.565987
WFM,WFM,5/31/2012,5568996,2081636,2.675298
WFM,WFM,5/15/2012,5380487,2534451,2.122940
WFM,WFM,4/30/2012,5863003,1431581,4.095474
WFM,WFM,4/13/2012,6489678,1346812,4.818548
WFM,WFM,3/30/2012,5845183,1545048,3.783172
WFM,WFM,3/15/2012,6888871,1350179,5.102191
WFM,WFM,2/29/2012,8214302,1308126,6.279443
WFM,WFM,2/15/2012,9022211,2628718,3.432171
