filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WIN,WIN,1/31/2013,63925906,6619238,9.657593
WIN,WIN,1/15/2013,63442539,10461028,6.064656
WIN,WIN,12/31/2012,64512106,8914730,7.236574
WIN,WIN,12/14/2012,64609965,6773540,9.538582
WIN,WIN,11/30/2012,65838389,7912310,8.321007
WIN,WIN,11/15/2012,75645198,9640525,7.846585
WIN,WIN,10/31/2012,72034044,5482307,13.139367
WIN,WIN,10/15/2012,68509771,6816811,10.050120
WIN,WIN,9/28/2012,67480989,7581676,8.900537
WIN,WIN,9/14/2012,65236672,8576773,7.606202
WIN,WIN,8/31/2012,63712792,7860571,8.105364
WIN,WIN,8/15/2012,58434345,10713576,5.454233
WIN,WIN,7/31/2012,52415421,6745038,7.770960
WIN,WIN,7/13/2012,45937300,6561612,7.000917
WIN,WIN,6/29/2012,49784220,10388597,4.792199
WIN,WIN,6/15/2012,45445703,8109697,5.603872
WIN,WIN,5/31/2012,45671308,8400375,5.436818
WIN,WIN,5/15/2012,36696815,11264741,3.257671
WIN,WIN,4/30/2012,36118623,4423357,8.165432
WIN,WIN,4/13/2012,34566387,6229449,5.548867
WIN,WIN,3/30/2012,38677462,9355921,4.134009
WIN,WIN,3/15/2012,37728040,5067733,7.444757
WIN,WIN,2/29/2012,37272952,7566751,4.925886
WIN,WIN,2/15/2012,31388574,4689377,6.693549
