filename,ticker_in_file,Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WVVI,WVVI,1/31/2013,1316,1376,1.000000
WVVI,WVVI,1/15/2013,1303,3688,1.000000
WVVI,WVVI,12/31/2012,2066,13796,1.000000
WVVI,WVVI,12/14/2012,1074,4979,1.000000
WVVI,WVVI,11/30/2012,605,2159,1.000000
WVVI,WVVI,11/15/2012,208,1902,1.000000
WVVI,WVVI,10/31/2012,1294,2208,1.000000
WVVI,WVVI,10/15/2012,5555,5611,1.000000
WVVI,WVVI,9/28/2012,3179,4764,1.000000
WVVI,WVVI,9/14/2012,5286,2513,2.103462
WVVI,WVVI,8/31/2012,1880,3344,1.000000
WVVI,WVVI,8/15/2012,1522,3532,1.000000
WVVI,WVVI,7/31/2012,1759,4353,1.000000
WVVI,WVVI,7/13/2012,2126,11078,1.000000
WVVI,WVVI,6/29/2012,1527,787,1.940280
WVVI,WVVI,6/15/2012,1633,19383,1.000000
WVVI,WVVI,5/31/2012,1482,4616,1.000000
WVVI,WVVI,5/15/2012,1683,11000,1.000000
WVVI,WVVI,4/30/2012,2017,9823,1.000000
WVVI,WVVI,4/13/2012,3077,11791,1.000000
WVVI,WVVI,3/30/2012,1652,3696,1.000000
WVVI,WVVI,3/15/2012,1616,711,2.272855
WVVI,WVVI,2/29/2012,1784,2587,1.000000
WVVI,WVVI,2/15/2012,1882,2923,1.000000
