filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACGL,ACGL,12/13/2013,2757510,287803,9.581241
ACGL,ACGL,11/29/2013,2733026,269630,10.136209
ACGL,ACGL,11/15/2013,2783076,263942,10.544271
ACGL,ACGL,10/31/2013,2726554,372759,7.314522
ACGL,ACGL,10/15/2013,2881897,330317,8.724640
ACGL,ACGL,9/30/2013,2984486,536854,5.559213
ACGL,ACGL,9/13/2013,3182893,307766,10.341925
ACGL,ACGL,8/30/2013,3105291,222895,13.931631
ACGL,ACGL,8/15/2013,2999161,325270,9.220528
ACGL,ACGL,7/31/2013,3050108,374553,8.143328
ACGL,ACGL,7/15/2013,3369204,372617,9.042003
ACGL,ACGL,6/28/2013,3821786,574394,6.653597
ACGL,ACGL,6/14/2013,4184982,496419,8.430342
ACGL,ACGL,5/31/2013,4839468,645675,7.495207
ACGL,ACGL,5/15/2013,4003056,558568,7.166640
ACGL,ACGL,4/30/2013,3676045,532919,6.897943
ACGL,ACGL,4/15/2013,3571452,589070,6.062865
ACGL,ACGL,3/28/2013,3831497,649539,5.898794
ACGL,ACGL,3/15/2013,4054755,564614,7.181464
ACGL,ACGL,2/28/2013,3735400,604366,6.180692
ACGL,ACGL,2/15/2013,4097856,701960,5.837734
ACGL,ACGL,1/31/2013,3590848,431348,8.324712
ACGL,ACGL,1/15/2013,3894308,604738,6.439661
