filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACIW,ACIW,12/13/2013,2444582,255255,9.577019
ACIW,ACIW,11/29/2013,2614032,220458,11.857279
ACIW,ACIW,11/15/2013,2898597,482009,6.013574
ACIW,ACIW,10/31/2013,4246717,247034,17.190820
ACIW,ACIW,10/15/2013,4373559,278277,15.716567
ACIW,ACIW,9/30/2013,4410812,255339,17.274337
ACIW,ACIW,9/13/2013,4229004,580767,7.281757
ACIW,ACIW,8/30/2013,4133371,273065,15.136949
ACIW,ACIW,8/15/2013,4161618,478365,8.699671
ACIW,ACIW,7/31/2013,3931326,213751,18.392082
ACIW,ACIW,7/15/2013,3601895,162495,22.166190
ACIW,ACIW,6/28/2013,3602254,375649,9.589415
ACIW,ACIW,6/14/2013,2690139,212147,12.680542
ACIW,ACIW,5/31/2013,2424746,236678,10.244915
ACIW,ACIW,5/15/2013,2055680,283259,7.257245
ACIW,ACIW,4/30/2013,2079206,201163,10.335927
ACIW,ACIW,4/15/2013,1966626,262614,7.488656
ACIW,ACIW,3/28/2013,1814350,194874,9.310375
ACIW,ACIW,3/15/2013,1887353,346164,5.452193
ACIW,ACIW,2/28/2013,1894625,208298,9.095743
ACIW,ACIW,2/15/2013,1870429,169443,11.038691
ACIW,ACIW,1/31/2013,1872709,190440,9.833591
ACIW,ACIW,1/15/2013,1950113,202841,9.613998
