filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACXM,ACXM,12/13/2013,2321784,521636,4.450966
ACXM,ACXM,11/29/2013,2148670,284297,7.557836
ACXM,ACXM,11/15/2013,2244827,485200,4.626601
ACXM,ACXM,10/31/2013,2533315,533441,4.749007
ACXM,ACXM,10/15/2013,2411421,666730,3.616788
ACXM,ACXM,9/30/2013,2244585,530199,4.233476
ACXM,ACXM,9/13/2013,2191240,329273,6.654782
ACXM,ACXM,8/30/2013,2084850,291741,7.146236
ACXM,ACXM,8/15/2013,1809526,358416,5.048675
ACXM,ACXM,7/31/2013,1799843,387834,4.640756
ACXM,ACXM,7/15/2013,2173165,515893,4.212434
ACXM,ACXM,6/28/2013,2249860,571395,3.937486
ACXM,ACXM,6/14/2013,2273826,323382,7.031393
ACXM,ACXM,5/31/2013,2041732,419672,4.865066
ACXM,ACXM,5/15/2013,2148947,360302,5.964294
ACXM,ACXM,4/30/2013,2077082,257343,8.071259
ACXM,ACXM,4/15/2013,2036502,389647,5.226531
ACXM,ACXM,3/28/2013,2056005,326237,6.302182
ACXM,ACXM,3/15/2013,1976849,346418,5.706542
ACXM,ACXM,2/28/2013,1998320,379248,5.269164
ACXM,ACXM,2/15/2013,1862150,397480,4.684890
ACXM,ACXM,1/31/2013,1897940,418282,4.537465
ACXM,ACXM,1/15/2013,1881137,230434,8.163452
