filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AH,AH,12/13/2013,6534982,301463,21.677559
AH,AH,11/29/2013,7068629,488506,14.469892
AH,AH,11/15/2013,7296119,801286,9.105512
AH,AH,10/31/2013,7606853,236425,32.174487
AH,AH,10/15/2013,7754649,345925,22.417140
AH,AH,9/30/2013,7839077,456733,17.163369
AH,AH,9/13/2013,8230718,416135,19.778961
AH,AH,8/30/2013,8355770,304402,27.449787
AH,AH,8/15/2013,8531223,207200,41.173856
AH,AH,7/31/2013,8752430,258772,33.822941
AH,AH,7/15/2013,9368152,336082,27.874602
AH,AH,6/28/2013,9934121,439632,22.596447
AH,AH,6/14/2013,10462280,414161,25.261384
AH,AH,5/31/2013,10354309,300349,34.474258
AH,AH,5/15/2013,10015033,455094,22.006515
AH,AH,4/30/2013,10567869,501562,21.069916
AH,AH,4/15/2013,10619653,664723,15.976058
AH,AH,3/28/2013,10837171,509309,21.278185
AH,AH,3/15/2013,10171079,1147298,8.865246
AH,AH,2/28/2013,11036527,2335266,4.726026
AH,AH,2/15/2013,11337195,553880,20.468685
AH,AH,1/31/2013,10442397,1198206,8.715026
AH,AH,1/15/2013,9613588,582855,16.493962
