filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AMBC,AMBC,12/13/2013,2246845,710104,3.164107
AMBC,AMBC,11/29/2013,2165425,500548,4.326109
AMBC,AMBC,11/15/2013,2182684,552154,3.953035
AMBC,AMBC,10/31/2013,2306687,515857,4.471563
AMBC,AMBC,10/15/2013,1889226,939563,2.010750
AMBC,AMBC,9/30/2013,1732572,489350,3.540558
AMBC,AMBC,9/13/2013,1813186,1210833,1.497470
AMBC,AMBC,8/30/2013,1795199,166406,10.788067
AMBC,AMBC,8/15/2013,1858929,276210,6.730129
AMBC,AMBC,7/31/2013,1780744,360710,4.936775
AMBC,AMBC,7/15/2013,1698627,352041,4.825083
AMBC,AMBC,6/28/2013,442611,1634050,1.000000
AMBC,AMBC,6/14/2013,303794,663497,1.000000
AMBC,AMBC,5/31/2013,225102,881974,1.000000
AMBC,AMBC,5/15/2013,134753,1426369,1.000000
