filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AMRC,AMRC,12/13/2013,777573,80967,9.603579
AMRC,AMRC,11/29/2013,794220,88604,8.963704
AMRC,AMRC,11/15/2013,726512,153092,4.745591
AMRC,AMRC,10/31/2013,868144,81662,10.630942
AMRC,AMRC,10/15/2013,974766,62858,15.507429
AMRC,AMRC,9/30/2013,1024595,139257,7.357583
AMRC,AMRC,9/13/2013,1056891,57085,18.514338
AMRC,AMRC,8/30/2013,1054161,77406,13.618595
AMRC,AMRC,8/15/2013,1018742,108710,9.371189
AMRC,AMRC,7/31/2013,979783,85653,11.438981
AMRC,AMRC,7/15/2013,938219,92629,10.128783
AMRC,AMRC,6/28/2013,974627,247286,3.941295
AMRC,AMRC,6/14/2013,807477,171342,4.712662
AMRC,AMRC,5/31/2013,564785,176163,3.206036
AMRC,AMRC,5/15/2013,439718,146152,3.008635
AMRC,AMRC,4/30/2013,465823,97134,4.795674
AMRC,AMRC,4/15/2013,421983,120929,3.489510
AMRC,AMRC,3/28/2013,477285,258703,1.844915
AMRC,AMRC,3/15/2013,440360,104021,4.233376
AMRC,AMRC,2/28/2013,468113,85280,5.489130
AMRC,AMRC,2/15/2013,485432,110431,4.395795
AMRC,AMRC,1/31/2013,521592,93183,5.597502
AMRC,AMRC,1/15/2013,514538,60475,8.508276
