filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ATX,ATX,12/13/2013,79290,40832,1.941859
ATX,ATX,11/29/2013,87169,54779,1.591285
ATX,ATX,11/15/2013,97189,129621,1.000000
ATX,ATX,10/31/2013,120673,26824,4.498695
ATX,ATX,10/15/2013,133989,32579,4.112741
ATX,ATX,9/30/2013,137391,37622,3.651879
ATX,ATX,9/13/2013,152132,36747,4.139984
ATX,ATX,8/30/2013,143927,39492,3.644460
ATX,ATX,8/15/2013,100497,25259,3.978661
ATX,ATX,7/31/2013,103707,43855,2.364770
ATX,ATX,7/15/2013,129200,35062,3.684901
ATX,ATX,6/28/2013,141477,37899,3.733001
ATX,ATX,6/14/2013,138095,25709,5.371465
ATX,ATX,5/31/2013,124544,14171,8.788653
ATX,ATX,5/15/2013,130143,24224,5.372482
ATX,ATX,4/30/2013,137207,10258,13.375609
ATX,ATX,4/15/2013,127763,13095,9.756625
ATX,ATX,3/28/2013,147856,18308,8.076032
ATX,ATX,3/15/2013,190604,17579,10.842710
ATX,ATX,2/28/2013,190748,14775,12.910186
ATX,ATX,2/15/2013,175305,49396,3.548972
ATX,ATX,1/31/2013,164591,16781,9.808176
ATX,ATX,1/15/2013,161142,14873,10.834532
