filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AVGO,AVGO,12/13/2013,2672202,2201491,1.213815
AVGO,AVGO,11/29/2013,2345411,1443900,1.624358
AVGO,AVGO,11/15/2013,2624204,2466682,1.063860
AVGO,AVGO,10/31/2013,4133610,2909469,1.420744
AVGO,AVGO,10/15/2013,3018558,2191302,1.377518
AVGO,AVGO,9/30/2013,3970611,3207596,1.237878
AVGO,AVGO,9/13/2013,2862919,1817073,1.575566
AVGO,AVGO,8/30/2013,2686980,2462459,1.091178
AVGO,AVGO,8/15/2013,3346340,1594522,2.098648
AVGO,AVGO,7/31/2013,3484249,1969174,1.769396
AVGO,AVGO,7/15/2013,3979303,2115084,1.881392
AVGO,AVGO,6/28/2013,4064518,3259718,1.246893
AVGO,AVGO,6/14/2013,2373578,2608095,1.000000
AVGO,AVGO,5/31/2013,1900032,2986019,1.000000
AVGO,AVGO,5/15/2013,1373788,2613523,1.000000
AVGO,AVGO,4/30/2013,2392748,3551466,1.000000
AVGO,AVGO,4/15/2013,2523785,1781145,1.416945
AVGO,AVGO,3/28/2013,2754621,2124359,1.296683
AVGO,AVGO,3/15/2013,2298716,2845210,1.000000
AVGO,AVGO,2/28/2013,1386935,3454498,1.000000
AVGO,AVGO,2/15/2013,1868072,3146766,1.000000
AVGO,AVGO,1/31/2013,1767981,3103408,1.000000
AVGO,AVGO,1/15/2013,1126518,3341352,1.000000
