filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BGCP,BGCP,12/13/2013,5160106,1043553,4.944747
BGCP,BGCP,11/29/2013,5144519,1032769,4.981287
BGCP,BGCP,11/15/2013,5132231,1146331,4.477093
BGCP,BGCP,10/31/2013,5464125,928925,5.882203
BGCP,BGCP,10/15/2013,5487200,1019672,5.381338
BGCP,BGCP,9/30/2013,5364277,689074,7.784762
BGCP,BGCP,9/13/2013,5539937,749806,7.388494
BGCP,BGCP,8/30/2013,5635077,947899,5.944807
BGCP,BGCP,8/15/2013,5614374,1128194,4.976426
BGCP,BGCP,7/31/2013,5394554,978911,5.510771
BGCP,BGCP,7/15/2013,6130595,1161161,5.279711
BGCP,BGCP,6/28/2013,6168943,2015187,3.061226
BGCP,BGCP,6/14/2013,6542628,1736637,3.767413
BGCP,BGCP,5/31/2013,5935530,1226547,4.839219
BGCP,BGCP,5/15/2013,6064965,1550495,3.911631
BGCP,BGCP,4/30/2013,6374519,1246092,5.115609
BGCP,BGCP,4/15/2013,6499049,5347232,1.215404
BGCP,BGCP,3/28/2013,5867076,968311,6.059082
BGCP,BGCP,3/15/2013,5741872,1361139,4.218432
BGCP,BGCP,2/28/2013,5760436,1871874,3.077363
BGCP,BGCP,2/15/2013,4987826,1964150,2.539432
BGCP,BGCP,1/31/2013,4264716,1557453,2.738263
BGCP,BGCP,1/15/2013,4390408,1395336,3.146488
