filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BTX,BTX,12/13/2013,4362306,164921,26.450883
BTX,BTX,11/29/2013,4481708,109213,41.036397
BTX,BTX,11/15/2013,4517118,179596,25.151551
BTX,BTX,10/31/2013,4572570,196794,23.235312
BTX,BTX,10/15/2013,5153732,144801,35.591826
BTX,BTX,9/30/2013,5858106,121139,48.358547
BTX,BTX,9/13/2013,5964356,86999,68.556604
BTX,BTX,8/30/2013,6131319,128470,47.725687
BTX,BTX,8/15/2013,6339928,124113,51.081901
BTX,BTX,7/31/2013,6519481,108928,59.851287
BTX,BTX,7/15/2013,6762870,110360,61.280083
BTX,BTX,6/28/2013,6699660,222318,30.135482
BTX,BTX,6/14/2013,6878546,162860,42.235945
BTX,BTX,5/31/2013,6850032,181624,37.715456
BTX,BTX,5/15/2013,6736305,115294,58.427195
BTX,BTX,4/30/2013,6775990,164545,41.180163
BTX,BTX,4/15/2013,6837601,122779,55.690313
BTX,BTX,3/28/2013,6864747,163511,41.983396
BTX,BTX,3/15/2013,6650826,171367,38.810424
BTX,BTX,2/28/2013,6768849,203610,33.244187
BTX,BTX,2/15/2013,6755753,192227,35.144662
BTX,BTX,1/31/2013,6659317,410785,16.211198
BTX,BTX,1/15/2013,6141443,481374,12.758153
