filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CHRW,CHRW,12/13/2013,17638662,1903593,9.265984
CHRW,CHRW,11/29/2013,16361113,1875628,8.723005
CHRW,CHRW,11/15/2013,16313292,2282882,7.145920
CHRW,CHRW,10/31/2013,15602644,1489055,10.478219
CHRW,CHRW,10/15/2013,14746899,1430867,10.306268
CHRW,CHRW,9/30/2013,16051990,1570773,10.219166
CHRW,CHRW,9/13/2013,14752892,1304079,11.312882
CHRW,CHRW,8/30/2013,15766882,1139535,13.836242
CHRW,CHRW,8/15/2013,9851702,1472200,6.691823
CHRW,CHRW,7/31/2013,8337447,827418,10.076463
CHRW,CHRW,7/15/2013,8278024,996348,8.308366
CHRW,CHRW,6/28/2013,7809789,1985223,3.933961
CHRW,CHRW,6/14/2013,6660181,1209431,5.506871
CHRW,CHRW,5/31/2013,6356525,1397889,4.547232
CHRW,CHRW,5/15/2013,5763543,2262923,2.546946
CHRW,CHRW,4/30/2013,5660649,1203827,4.702211
CHRW,CHRW,4/15/2013,5455933,1436916,3.796974
CHRW,CHRW,3/28/2013,5349349,1424440,3.755405
CHRW,CHRW,3/15/2013,5305864,1907499,2.781582
CHRW,CHRW,2/28/2013,5416183,1798648,3.011252
CHRW,CHRW,2/15/2013,5809237,2602979,2.231765
CHRW,CHRW,1/31/2013,6489410,1329660,4.880503
CHRW,CHRW,1/15/2013,5289291,1728456,3.060125
