filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CIT,DEL,12/13/2013,2473493,876219,2.822916
CIT,DEL,11/29/2013,2357664,967618,2.436565
CIT,DEL,11/15/2013,2718427,1291623,2.104660
CIT,DEL,10/31/2013,2882545,1436183,2.007088
CIT,DEL,10/15/2013,2927850,995230,2.941883
CIT,DEL,9/30/2013,2778256,1494090,1.859497
CIT,DEL,9/13/2013,3080973,895355,3.441063
CIT,DEL,8/30/2013,2882963,798213,3.611772
CIT,DEL,8/15/2013,3847681,756695,5.084851
CIT,DEL,7/31/2013,3622717,1835920,1.973243
CIT,DEL,7/15/2013,3975806,1449156,2.743532
CIT,DEL,6/28/2013,2804904,2049815,1.368369
CIT,DEL,6/14/2013,3057414,1223141,2.499641
CIT,DEL,5/31/2013,3380189,1498181,2.256195
CIT,DEL,5/15/2013,3838143,847842,4.526955
CIT,DEL,4/30/2013,3211190,1399228,2.294973
CIT,DEL,4/15/2013,3193669,1000462,3.192194
CIT,DEL,3/28/2013,3181906,989792,3.214722
CIT,DEL,3/15/2013,3476218,1228393,2.829891
CIT,DEL,2/28/2013,2938074,1399521,2.099343
CIT,DEL,2/15/2013,2757279,2092450,1.317728
CIT,DEL,1/31/2013,2733954,1827095,1.496339
CIT,DEL,1/15/2013,3018578,1119648,2.696006
