filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CJES,CJES,12/13/2013,4840975,339006,14.279910
CJES,CJES,11/29/2013,4791445,411859,11.633702
CJES,CJES,11/15/2013,4757179,447610,10.627955
CJES,CJES,10/31/2013,4205213,702488,5.986171
CJES,CJES,10/15/2013,3741413,325447,11.496228
CJES,CJES,9/30/2013,3574120,375604,9.515660
CJES,CJES,9/13/2013,3361683,425113,7.907740
CJES,CJES,8/30/2013,3109309,346906,8.962973
CJES,CJES,8/15/2013,3199834,507949,6.299518
CJES,CJES,7/31/2013,3110095,513454,6.057203
CJES,CJES,7/15/2013,3059797,539225,5.674435
CJES,CJES,6/28/2013,3014632,625226,4.821668
CJES,CJES,6/14/2013,3101243,427442,7.255354
CJES,CJES,5/31/2013,2910955,590985,4.925599
CJES,CJES,5/15/2013,2885814,918518,3.141815
CJES,CJES,4/30/2013,4455027,703885,6.329197
CJES,CJES,4/15/2013,4583512,1286871,3.561749
CJES,CJES,3/28/2013,4749881,663352,7.160423
CJES,CJES,3/15/2013,4871637,692258,7.037314
CJES,CJES,2/28/2013,4968752,1341410,3.704126
CJES,CJES,2/15/2013,5652612,837135,6.752330
CJES,CJES,1/31/2013,6233181,520460,11.976292
CJES,CJES,1/15/2013,5695663,588835,9.672766
