filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CLDX,CLDX,12/13/2013,10281426,2540398,4.047171
CLDX,CLDX,11/29/2013,11058417,2493923,4.434145
CLDX,CLDX,11/15/2013,11964621,2926066,4.088979
CLDX,CLDX,10/31/2013,10610411,2977057,3.564060
CLDX,CLDX,10/15/2013,10345476,4348541,2.379068
CLDX,CLDX,9/30/2013,12015472,3777905,3.180459
CLDX,CLDX,9/13/2013,8947187,1550421,5.770811
CLDX,CLDX,8/30/2013,8785018,1548143,5.674552
CLDX,CLDX,8/15/2013,7873169,1643034,4.791848
CLDX,CLDX,7/31/2013,8087890,1285557,6.291351
CLDX,CLDX,7/15/2013,8458334,3348665,2.525882
CLDX,CLDX,6/28/2013,8139401,2064316,3.942905
CLDX,CLDX,6/14/2013,8559416,2440115,3.507792
CLDX,CLDX,5/31/2013,7709207,957799,8.048878
CLDX,CLDX,5/15/2013,7462613,1131320,6.596377
CLDX,CLDX,4/30/2013,7860311,1729967,4.543619
CLDX,CLDX,4/15/2013,7622987,1201046,6.346957
CLDX,CLDX,3/28/2013,7981107,1278815,6.241018
CLDX,CLDX,3/15/2013,7095236,3429786,2.068711
CLDX,CLDX,2/28/2013,6658962,2412097,2.760653
CLDX,CLDX,2/15/2013,6387053,1807006,3.534605
CLDX,CLDX,1/31/2013,5704808,642747,8.875666
CLDX,CLDX,1/15/2013,5650610,1058474,5.338450
