filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CMCSA,CMCSA,12/13/2013,26940897,9933140,2.712224
CMCSA,CMCSA,11/29/2013,24584782,11316110,2.172547
CMCSA,CMCSA,11/15/2013,25295859,8760366,2.887534
CMCSA,CMCSA,10/31/2013,25928076,10844479,2.390901
CMCSA,CMCSA,10/15/2013,26583084,9856275,2.697072
CMCSA,CMCSA,9/30/2013,23499608,10583215,2.220460
CMCSA,CMCSA,9/13/2013,23715161,9712878,2.441620
CMCSA,CMCSA,8/30/2013,22595775,9676050,2.335227
CMCSA,CMCSA,8/15/2013,25287083,9439738,2.678791
CMCSA,CMCSA,7/31/2013,23585852,11748887,2.007497
CMCSA,CMCSA,7/15/2013,24503998,11571988,2.117527
CMCSA,CMCSA,6/28/2013,25123767,17231013,1.458055
CMCSA,CMCSA,6/14/2013,18706237,11875222,1.575233
CMCSA,CMCSA,5/31/2013,21121520,12116426,1.743214
CMCSA,CMCSA,5/15/2013,22236971,8611337,2.582290
CMCSA,CMCSA,4/30/2013,23857533,13205985,1.806570
CMCSA,CMCSA,4/15/2013,32631205,12495062,2.611528
CMCSA,CMCSA,3/28/2013,32591689,13600318,2.396392
CMCSA,CMCSA,3/15/2013,33048935,11246442,2.938612
CMCSA,CMCSA,2/28/2013,30950558,14091607,2.196382
CMCSA,CMCSA,2/15/2013,23961762,19148857,1.251342
CMCSA,CMCSA,1/31/2013,25266351,12957213,1.949983
CMCSA,CMCSA,1/15/2013,27710020,11363498,2.438511
