filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
COG,COG,12/13/2013,8681367,5592808,1.552238
COG,COG,11/29/2013,7564287,5006574,1.510871
COG,COG,11/15/2013,7891949,6287806,1.255120
COG,COG,10/31/2013,9798586,5707718,1.716726
COG,COG,10/15/2013,11713382,4740024,2.471165
COG,COG,9/30/2013,12436796,6358256,1.956007
COG,COG,9/13/2013,10572244,4786413,2.208803
COG,COG,8/30/2013,9214019,2718140,3.389825
COG,COG,8/15/2013,9506612,2962170,3.209340
COG,COG,7/31/2013,10531726,4285192,2.457702
COG,COG,7/15/2013,10279114,3660082,2.808438
COG,COG,6/28/2013,8446018,3764704,2.243475
COG,COG,6/14/2013,7145616,3227198,2.214186
COG,COG,5/31/2013,6778204,4042996,1.676530
COG,COG,5/15/2013,6244200,3355160,1.861074
COG,COG,4/30/2013,7061164,5192000,1.360008
COG,COG,4/15/2013,9279482,4766094,1.946978
COG,COG,3/28/2013,8180046,3492720,2.342027
COG,COG,3/15/2013,8426900,5031224,1.674920
COG,COG,2/28/2013,7606182,6435160,1.181972
COG,COG,2/15/2013,7672698,2959394,2.592658
COG,COG,1/31/2013,7658610,3872278,1.977805
COG,COG,1/15/2013,6713204,5587804,1.201403
