filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CONE,CONE,12/13/2013,421553,186073,2.265525
CONE,CONE,11/29/2013,444143,365770,1.214269
CONE,CONE,11/15/2013,331632,325672,1.018301
CONE,CONE,10/31/2013,364416,280860,1.297501
CONE,CONE,10/15/2013,495583,182200,2.719995
CONE,CONE,9/30/2013,510592,148892,3.429278
CONE,CONE,9/13/2013,527943,128729,4.101197
CONE,CONE,8/30/2013,528606,159758,3.308792
CONE,CONE,8/15/2013,419792,164711,2.548658
CONE,CONE,7/31/2013,529475,197391,2.682366
CONE,CONE,7/15/2013,626658,215500,2.907926
CONE,CONE,6/28/2013,544267,324941,1.674972
CONE,CONE,6/14/2013,592526,249300,2.376759
CONE,CONE,5/31/2013,478895,347138,1.379552
CONE,CONE,5/15/2013,491532,290537,1.691805
CONE,CONE,4/30/2013,492746,176915,2.785213
CONE,CONE,4/15/2013,524414,179777,2.917025
CONE,CONE,3/28/2013,193799,555000,1.000000
CONE,CONE,3/15/2013,467407,249323,1.874705
CONE,CONE,2/28/2013,378186,535753,1.000000
CONE,CONE,2/15/2013,348568,354474,1.000000
CONE,CONE,1/31/2013,140090,1648333,1.000000
CONE,CONE,1/15/2013
