filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CSGP,CSGP,12/13/2013,470846,128575,3.662034
CSGP,CSGP,11/29/2013,456913,77902,5.865228
CSGP,CSGP,11/15/2013,441250,125234,3.523404
CSGP,CSGP,10/31/2013,527461,176116,2.994964
CSGP,CSGP,10/15/2013,623705,168677,3.697629
CSGP,CSGP,9/30/2013,612306,139377,4.393164
CSGP,CSGP,9/13/2013,682192,119581,5.704853
CSGP,CSGP,8/30/2013,619232,85449,7.246802
CSGP,CSGP,8/15/2013,667231,95764,6.967451
CSGP,CSGP,7/31/2013,1022200,156846,6.517221
CSGP,CSGP,7/15/2013,1297561,141818,9.149480
CSGP,CSGP,6/28/2013,1391899,166060,8.381904
CSGP,CSGP,6/14/2013,1298871,107559,12.075893
CSGP,CSGP,5/31/2013,1211100,115203,10.512747
CSGP,CSGP,5/15/2013,1173616,95978,12.227969
CSGP,CSGP,4/30/2013,1188938,111017,10.709513
CSGP,CSGP,4/15/2013,1148821,129030,8.903519
CSGP,CSGP,3/28/2013,1172661,148046,7.920923
CSGP,CSGP,3/15/2013,1195228,154898,7.716226
CSGP,CSGP,2/28/2013,1214287,113488,10.699695
CSGP,CSGP,2/15/2013,1205595,117864,10.228696
CSGP,CSGP,1/31/2013,1216668,123898,9.819916
CSGP,CSGP,1/15/2013,1305560,130030,10.040452
