filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CVCO,CVCO,12/13/2013,308431,21220,14.534920
CVCO,CVCO,11/29/2013,316921,21600,14.672269
CVCO,CVCO,11/15/2013,305612,27317,11.187612
CVCO,CVCO,10/31/2013,328299,22462,14.615751
CVCO,CVCO,10/15/2013,330936,17975,18.410904
CVCO,CVCO,9/30/2013,341042,26222,13.005949
CVCO,CVCO,9/13/2013,339134,24176,14.027713
CVCO,CVCO,8/30/2013,343985,25493,13.493312
CVCO,CVCO,8/15/2013,308117,32289,9.542476
CVCO,CVCO,7/31/2013,308875,28163,10.967404
CVCO,CVCO,7/15/2013,318528,20501,15.537193
CVCO,CVCO,6/28/2013,291333,55593,5.240462
CVCO,CVCO,6/14/2013,302020,23149,13.046784
CVCO,CVCO,5/31/2013,294991,21718,13.582788
CVCO,CVCO,5/15/2013,286523,14625,19.591316
CVCO,CVCO,4/30/2013,297520,28521,10.431612
CVCO,CVCO,4/15/2013,307266,18571,16.545474
CVCO,CVCO,3/28/2013,320428,19397,16.519462
CVCO,CVCO,3/15/2013,319201,16919,18.866422
CVCO,CVCO,2/28/2013,332043,19819,16.753772
CVCO,CVCO,2/15/2013,326392,20235,16.130072
CVCO,CVCO,1/31/2013,345220,42290,8.163159
CVCO,CVCO,1/15/2013,345821,38927,8.883834
