filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CYNO,CYNO,12/13/2013,1263576,183281,6.894201
CYNO,CYNO,11/29/2013,1223974,261016,4.689268
CYNO,CYNO,11/15/2013,1312219,368636,3.559660
CYNO,CYNO,10/31/2013,1201082,447141,2.686137
CYNO,CYNO,10/15/2013,1159046,183718,6.308832
CYNO,CYNO,9/30/2013,1042658,205335,5.077839
CYNO,CYNO,9/13/2013,822631,292187,2.815426
CYNO,CYNO,8/30/2013,698940,206531,3.384189
CYNO,CYNO,8/15/2013,481544,252920,1.903938
CYNO,CYNO,7/31/2013,488766,201178,2.429520
CYNO,CYNO,7/15/2013,883881,233362,3.787596
CYNO,CYNO,6/28/2013,1157056,302950,3.819297
CYNO,CYNO,6/14/2013,1317081,238994,5.510938
CYNO,CYNO,5/31/2013,779400,394869,1.973819
CYNO,CYNO,5/15/2013,671234,203515,3.298204
CYNO,CYNO,4/30/2013,747791,190587,3.923620
CYNO,CYNO,4/15/2013,674416,165964,4.063628
CYNO,CYNO,3/28/2013,603783,288343,2.093975
CYNO,CYNO,3/15/2013,322406,136739,2.357820
CYNO,CYNO,2/28/2013,331170,131176,2.524623
CYNO,CYNO,2/15/2013,347076,190681,1.820192
CYNO,CYNO,1/31/2013,319457,143424,2.227361
CYNO,CYNO,1/15/2013,372395,114966,3.239175
