filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DCOM,DCOM,12/13/2013,485767,94932,5.117000
DCOM,DCOM,11/29/2013,504748,148310,3.403331
DCOM,DCOM,11/15/2013,611018,101248,6.034865
DCOM,DCOM,10/31/2013,636883,138889,4.585554
DCOM,DCOM,10/15/2013,642159,111245,5.772475
DCOM,DCOM,9/30/2013,674283,111184,6.064569
DCOM,DCOM,9/13/2013,693514,140655,4.930603
DCOM,DCOM,8/30/2013,605537,124353,4.869501
DCOM,DCOM,8/15/2013,604803,110170,5.489725
DCOM,DCOM,7/31/2013,1113489,112871,9.865147
DCOM,DCOM,7/15/2013,1062601,102825,10.334072
DCOM,DCOM,6/28/2013,966981,117580,8.224026
DCOM,DCOM,6/14/2013,1053733,98250,10.725018
DCOM,DCOM,5/31/2013,986527,83613,11.798727
DCOM,DCOM,5/15/2013,1107633,114393,9.682699
DCOM,DCOM,4/30/2013,1139286,106624,10.685080
DCOM,DCOM,4/15/2013,1053462,116005,9.081178
DCOM,DCOM,3/28/2013,1110564,153696,7.225718
DCOM,DCOM,3/15/2013,1086308,125034,8.688101
DCOM,DCOM,2/28/2013,1096815,122429,8.958784
DCOM,DCOM,2/15/2013,1026142,93229,11.006682
DCOM,DCOM,1/31/2013,974073,164777,5.911462
DCOM,DCOM,1/15/2013,951997,75133,12.670824
