filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DRTX,DRTX,12/13/2013,1350611,170865,7.904550
DRTX,DRTX,11/29/2013,1206323,185456,6.504632
DRTX,DRTX,11/15/2013,1260603,180169,6.996781
DRTX,DRTX,10/31/2013,1360871,144497,9.417988
DRTX,DRTX,10/15/2013,1330554,137042,9.709096
DRTX,DRTX,9/30/2013,1280888,168296,7.610924
DRTX,DRTX,9/13/2013,1202811,150454,7.994543
DRTX,DRTX,8/30/2013,1237751,76419,16.196901
DRTX,DRTX,8/15/2013,1106221,201845,5.480547
DRTX,DRTX,7/31/2013,768244,197527,3.889311
DRTX,DRTX,7/15/2013,735210,109336,6.724318
DRTX,DRTX,6/28/2013,552407,104475,5.287456
DRTX,DRTX,6/14/2013,509307,42288,12.043771
DRTX,DRTX,5/31/2013,394499,62158,6.346713
DRTX,DRTX,5/15/2013,320859,77448,4.142896
DRTX,DRTX,4/30/2013,203260,109636,1.853953
DRTX,DRTX,4/15/2013,246651,130521,1.889742
DRTX,DRTX,3/28/2013,243627,30206,8.065517
DRTX,DRTX,3/15/2013,239691,25859,9.269152
DRTX,DRTX,2/28/2013,251958,32763,7.690321
DRTX,DRTX,2/15/2013,250352,21987,11.386365
DRTX,DRTX,1/31/2013,256745,35974,7.136960
DRTX,DRTX,1/15/2013,257655,38402,6.709416
