filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FFBH,FFBH,12/13/2013,169770,19307,8.793184
FFBH,FFBH,11/29/2013,172245,9341,18.439675
FFBH,FFBH,11/15/2013,179321,5103,35.140310
FFBH,FFBH,10/31/2013,189719,4218,44.978426
FFBH,FFBH,10/15/2013,196440,3426,57.338004
FFBH,FFBH,9/30/2013,198598,3596,55.227475
FFBH,FFBH,9/13/2013,198620,3094,64.195217
FFBH,FFBH,8/30/2013,194491,5473,35.536452
FFBH,FFBH,8/15/2013,191523,4749,40.329122
FFBH,FFBH,7/31/2013,196885,6779,29.043369
FFBH,FFBH,7/15/2013,169732,17773,9.549992
FFBH,FFBH,6/28/2013,94733,21689,4.367790
FFBH,FFBH,6/14/2013,80093,3698,21.658464
FFBH,FFBH,5/31/2013,81937,6219,13.175269
FFBH,FFBH,5/15/2013,102437,4394,23.312927
FFBH,FFBH,4/30/2013,131999,4579,28.827036
FFBH,FFBH,4/15/2013,146842,4544,32.315581
FFBH,FFBH,3/28/2013,153590,7488,20.511485
FFBH,FFBH,3/15/2013,152734,28306,5.395817
FFBH,FFBH,2/28/2013,428246,7906,54.167215
FFBH,FFBH,2/15/2013,456515,3554,128.451041
FFBH,FFBH,1/31/2013,460178,6791,67.762922
FFBH,FFBH,1/15/2013,478326,5805,82.398966
