filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FIVE,FIVE,12/13/2013,5774046,1767837,3.266164
FIVE,FIVE,11/29/2013,5426951,566646,9.577322
FIVE,FIVE,11/15/2013,5772687,732175,7.884300
FIVE,FIVE,10/31/2013,5435083,689934,7.877685
FIVE,FIVE,10/15/2013,5234324,766226,6.831306
FIVE,FIVE,9/30/2013,4958166,1418834,3.494536
FIVE,FIVE,9/13/2013,5741368,1634640,3.512313
FIVE,FIVE,8/30/2013,5059905,339790,14.891271
FIVE,FIVE,8/15/2013,4318697,392986,10.989442
FIVE,FIVE,7/31/2013,3782427,443820,8.522435
FIVE,FIVE,7/15/2013,3564388,517003,6.894327
FIVE,FIVE,6/28/2013,3495243,1395476,2.504696
FIVE,FIVE,6/14/2013,3733063,463298,8.057585
FIVE,FIVE,5/31/2013,3462317,237936,14.551463
FIVE,FIVE,5/15/2013,3534949,332835,10.620725
FIVE,FIVE,4/30/2013,3860401,438012,8.813459
FIVE,FIVE,4/15/2013,3358811,516574,6.502091
FIVE,FIVE,3/28/2013,3477052,673528,5.162446
FIVE,FIVE,3/15/2013,3426791,412938,8.298561
FIVE,FIVE,2/28/2013,3223761,602611,5.349655
FIVE,FIVE,2/15/2013,2968455,421575,7.041345
FIVE,FIVE,1/31/2013,2991144,1114332,2.684249
FIVE,FIVE,1/15/2013,2325370,308880,7.528393
