filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FLT,FLT,12/13/2013,554007,795345,1.000000
FLT,FLT,11/29/2013,425582,1066467,1.000000
FLT,FLT,11/15/2013,387306,584182,1.000000
FLT,FLT,10/31/2013,475767,906908,1.000000
FLT,FLT,10/15/2013,662785,881875,1.000000
FLT,FLT,9/30/2013,781143,616265,1.267544
FLT,FLT,9/13/2013,612056,717028,1.000000
FLT,FLT,8/30/2013,710983,666490,1.066757
FLT,FLT,8/15/2013,707668,701171,1.009266
FLT,FLT,7/31/2013,922358,458664,2.010967
FLT,FLT,7/15/2013,938681,526184,1.783941
FLT,FLT,6/28/2013,988821,1121511,1.000000
FLT,FLT,6/14/2013,1138811,684454,1.663824
FLT,FLT,5/31/2013,704911,886011,1.000000
FLT,FLT,5/15/2013,971880,1054607,1.000000
FLT,FLT,4/30/2013,1066109,826313,1.290200
FLT,FLT,4/15/2013,1474636,845470,1.744161
FLT,FLT,3/28/2013,1628520,936773,1.738436
FLT,FLT,3/15/2013,1264729,803773,1.573490
FLT,FLT,2/28/2013,1540037,590003,2.610219
FLT,FLT,2/15/2013,1358792,927596,1.464853
FLT,FLT,1/31/2013,1635394,515199,3.174296
FLT,FLT,1/15/2013,1685634,486709,3.463330
