filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FLWS,FLWS,12/13/2013,767509,218624,3.510635
FLWS,FLWS,11/29/2013,659352,188427,3.499244
FLWS,FLWS,11/15/2013,677589,219697,3.084198
FLWS,FLWS,10/31/2013,554859,287256,1.931584
FLWS,FLWS,10/15/2013,696455,320722,2.171522
FLWS,FLWS,9/30/2013,595442,211895,2.810080
FLWS,FLWS,9/13/2013,671851,149338,4.498862
FLWS,FLWS,8/30/2013,577803,135932,4.250677
FLWS,FLWS,8/15/2013,667053,86207,7.737806
FLWS,FLWS,7/31/2013,726596,97787,7.430395
FLWS,FLWS,7/15/2013,668117,163699,4.081375
FLWS,FLWS,6/28/2013,787493,228033,3.453417
FLWS,FLWS,6/14/2013,760463,159688,4.762180
FLWS,FLWS,5/31/2013,730381,130798,5.584038
FLWS,FLWS,5/15/2013,635254,260978,2.434129
FLWS,FLWS,4/30/2013,546066,218476,2.499432
FLWS,FLWS,4/15/2013,492603,135597,3.632846
FLWS,FLWS,3/28/2013,512257,134288,3.814615
FLWS,FLWS,3/15/2013,495858,128499,3.858847
FLWS,FLWS,2/28/2013,493925,122388,4.035731
FLWS,FLWS,2/15/2013,479775,161853,2.964264
FLWS,FLWS,1/31/2013,519604,120484,4.312639
FLWS,FLWS,1/15/2013,598452,71375,8.384616
