filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FNLC,ME,12/13/2013,146025,12488,11.693225
FNLC,ME,11/29/2013,156690,24900,6.292771
FNLC,ME,11/15/2013,167893,10623,15.804669
FNLC,ME,10/31/2013,184377,15515,11.883790
FNLC,ME,10/15/2013,209502,18764,11.165103
FNLC,ME,9/30/2013,210138,13684,15.356475
FNLC,ME,9/13/2013,217049,21603,10.047169
FNLC,ME,8/30/2013,221863,16105,13.776032
FNLC,ME,8/15/2013,217358,12001,18.111657
FNLC,ME,7/31/2013,217607,9488,22.934970
FNLC,ME,7/15/2013,254860,11823,21.556289
FNLC,ME,6/28/2013,245224,23131,10.601530
FNLC,ME,6/14/2013,258541,11910,21.707893
FNLC,ME,5/31/2013,241615,16570,14.581473
FNLC,ME,5/15/2013,252146,9872,25.541532
FNLC,ME,4/30/2013,255272,19983,12.774458
FNLC,ME,4/15/2013,243974,10773,22.646802
FNLC,ME,3/28/2013,243108,13135,18.508413
FNLC,ME,3/15/2013,239112,14369,16.640824
FNLC,ME,2/28/2013,238724,17018,14.027735
FNLC,ME,2/15/2013,232120,10252,22.641436
FNLC,ME,1/31/2013,238000,23780,10.008410
FNLC,ME,1/15/2013,252537,17074,14.790734
