filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GLT,GLT,12/13/2013,321879,152223,2.114523
GLT,GLT,11/29/2013,355942,123767,2.875904
GLT,GLT,11/15/2013,440460,158484,2.779208
GLT,GLT,10/31/2013,447287,236008,1.895220
GLT,GLT,10/15/2013,531118,164525,3.228190
GLT,GLT,9/30/2013,498214,203324,2.450345
GLT,GLT,9/13/2013,515122,176010,2.926663
GLT,GLT,8/30/2013,539173,177181,3.043063
GLT,GLT,8/15/2013,867062,141640,6.121590
GLT,GLT,7/31/2013,963787,144870,6.652771
GLT,GLT,7/15/2013,1079139,181819,5.935238
GLT,GLT,6/28/2013,1260006,273986,4.598797
GLT,GLT,6/14/2013,1361658,152976,8.901122
GLT,GLT,5/31/2013,1316432,186433,7.061153
GLT,GLT,5/15/2013,1533746,232079,6.608724
GLT,GLT,4/30/2013,1534830,288078,5.327828
GLT,GLT,4/15/2013,1493379,238362,6.265172
GLT,GLT,3/28/2013,1659506,294223,5.640300
GLT,GLT,3/15/2013,2110912,372102,5.672939
GLT,GLT,2/28/2013,2613395,313638,8.332520
GLT,GLT,2/15/2013,2688846,222583,12.080195
GLT,GLT,1/31/2013,2875757,205356,14.003764
GLT,GLT,1/15/2013,2943387,244966,12.015492
