filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GRT,GRT,12/13/2013,4102408,597058,6.871038
GRT,GRT,11/29/2013,4386174,436925,10.038734
GRT,GRT,11/15/2013,4359758,599392,7.273634
GRT,GRT,10/31/2013,5580558,976108,5.717152
GRT,GRT,10/15/2013,5423737,1131070,4.795227
GRT,GRT,9/30/2013,5367829,972593,5.519091
GRT,GRT,9/13/2013,5994985,883557,6.785057
GRT,GRT,8/30/2013,5223766,888886,5.876756
GRT,GRT,8/15/2013,3940078,720743,5.466689
GRT,GRT,7/31/2013,4901793,788471,6.216834
GRT,GRT,7/15/2013,4809722,808657,5.947790
GRT,GRT,6/28/2013,4043659,1015736,3.981014
GRT,GRT,6/14/2013,4232780,710643,5.956268
GRT,GRT,5/31/2013,4406373,641338,6.870594
GRT,GRT,5/15/2013,5039451,742497,6.787167
GRT,GRT,4/30/2013,4810972,768167,6.262925
GRT,GRT,4/15/2013,4498472,1224024,3.675150
GRT,GRT,3/28/2013,5121075,576694,8.880056
GRT,GRT,3/15/2013,5801726,855125,6.784653
GRT,GRT,2/28/2013,5775377,971163,5.946867
GRT,GRT,2/15/2013,5527801,1319627,4.188912
GRT,GRT,1/31/2013,5117965,911100,5.617347
GRT,GRT,1/15/2013,5722245,1149730,4.977034
