filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HGR,HGR,12/13/2013,1067549,194670,5.483891
HGR,HGR,11/29/2013,1091183,131157,8.319670
HGR,HGR,11/15/2013,1056601,157364,6.714376
HGR,HGR,10/31/2013,1358734,179270,7.579260
HGR,HGR,10/15/2013,1376207,186870,7.364515
HGR,HGR,9/30/2013,1416235,203324,6.965410
HGR,HGR,9/13/2013,1290581,166009,7.774163
HGR,HGR,8/30/2013,1272502,142459,8.932409
HGR,HGR,8/15/2013,1210692,408967,2.960366
HGR,HGR,7/31/2013,1098973,219765,5.000673
HGR,HGR,7/15/2013,1239773,179871,6.892567
HGR,HGR,6/28/2013,1146187,169623,6.757262
HGR,HGR,6/14/2013,1153117,117623,9.803499
HGR,HGR,5/31/2013,1166198,120271,9.696419
HGR,HGR,5/15/2013,1289698,194680,6.624707
HGR,HGR,4/30/2013,1205269,137304,8.778106
HGR,HGR,4/15/2013,1125742,95186,11.826760
HGR,HGR,3/28/2013,1134317,113619,9.983515
HGR,HGR,3/15/2013,1258692,191534,6.571637
HGR,HGR,2/28/2013,1220185,163573,7.459575
HGR,HGR,2/15/2013,1205468,251325,4.796451
HGR,HGR,1/31/2013,897298,162589,5.518811
HGR,HGR,1/15/2013,905289,137443,6.586650
