filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HWAY,HWAY,12/13/2013,7008583,590514,11.868614
HWAY,HWAY,11/29/2013,6564874,536654,12.232973
HWAY,HWAY,11/15/2013,5986940,1133518,5.281734
HWAY,HWAY,10/31/2013,5940337,1459531,4.070031
HWAY,HWAY,10/15/2013,6184655,638480,9.686529
HWAY,HWAY,9/30/2013,5885862,632136,9.311069
HWAY,HWAY,9/13/2013,6003328,659604,9.101412
HWAY,HWAY,8/30/2013,5610897,497434,11.279681
HWAY,HWAY,8/15/2013,5193136,723186,7.180913
HWAY,HWAY,7/31/2013,5730578,607341,9.435520
HWAY,HWAY,7/15/2013,4325888,1115569,3.877741
HWAY,HWAY,6/28/2013,2037242,507441,4.014737
HWAY,HWAY,6/14/2013,2365199,149209,15.851584
HWAY,HWAY,5/31/2013,2376512,115490,20.577643
HWAY,HWAY,5/15/2013,2428178,132722,18.295219
HWAY,HWAY,4/30/2013,2384983,314362,7.586741
HWAY,HWAY,4/15/2013,2323890,208934,11.122603
HWAY,HWAY,3/28/2013,2332062,151641,15.378836
HWAY,HWAY,3/15/2013,2443488,184729,13.227420
HWAY,HWAY,2/28/2013,2376468,209923,11.320665
HWAY,HWAY,2/15/2013,2294671,288976,7.940697
HWAY,HWAY,1/31/2013,2116623,203569,10.397570
HWAY,HWAY,1/15/2013,2268506,202855,11.182894
