filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HXL,HXL,12/13/2013,534966,438060,1.221216
HXL,HXL,11/29/2013,786697,352661,2.230746
HXL,HXL,11/15/2013,861135,404482,2.128982
HXL,HXL,10/31/2013,1127519,767157,1.469737
HXL,HXL,10/15/2013,1673537,400963,4.173794
HXL,HXL,9/30/2013,1507646,453048,3.327784
HXL,HXL,9/13/2013,1718637,284384,6.043367
HXL,HXL,8/30/2013,1699655,319619,5.317753
HXL,HXL,8/15/2013,1665644,483774,3.443021
HXL,HXL,7/31/2013,1754839,673085,2.607158
HXL,HXL,7/15/2013,1886129,665358,2.834758
HXL,HXL,6/28/2013,4612126,1574557,2.929158
HXL,HXL,6/14/2013,5058848,741852,6.819215
HXL,HXL,5/31/2013,5242380,732569,7.156159
HXL,HXL,5/15/2013,5059523,691520,7.316524
HXL,HXL,4/30/2013,5233967,656252,7.975544
HXL,HXL,4/15/2013,4193085,516462,8.118865
HXL,HXL,3/28/2013,4973919,494140,10.065809
HXL,HXL,3/15/2013,4927714,587344,8.389826
HXL,HXL,2/28/2013,5025341,628356,7.997602
HXL,HXL,2/15/2013,4285580,538243,7.962166
HXL,HXL,1/31/2013,4685279,1065789,4.396066
HXL,HXL,1/15/2013,5020841,654933,7.666190
