filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IBM,IBM,12/13/2013,27907258,4669107,5.977001
IBM,IBM,11/29/2013,27458797,5113723,5.369629
IBM,IBM,11/15/2013,23086284,4998519,4.618625
IBM,IBM,10/31/2013,20082404,7644207,2.627140
IBM,IBM,10/15/2013,18922870,3570228,5.300185
IBM,IBM,9/30/2013,18499150,3768253,4.909211
IBM,IBM,9/13/2013,18566807,3339829,5.559209
IBM,IBM,8/30/2013,17773597,3005399,5.913889
IBM,IBM,8/15/2013,17801417,3640419,4.889936
IBM,IBM,7/31/2013,17247628,4109727,4.196782
IBM,IBM,7/15/2013,18251421,3878491,4.705805
IBM,IBM,6/28/2013,17820174,4788047,3.721804
IBM,IBM,6/14/2013,17229619,3235209,5.325659
IBM,IBM,5/31/2013,18364963,4297606,4.273301
IBM,IBM,5/15/2013,18237086,3947872,4.619472
IBM,IBM,4/30/2013,16721424,6631232,2.521616
IBM,IBM,4/15/2013,16628367,3249193,5.117691
IBM,IBM,3/28/2013,15562750,3400750,4.576270
IBM,IBM,3/15/2013,15546153,4130351,3.763882
IBM,IBM,2/28/2013,13417598,3732479,3.594822
IBM,IBM,2/15/2013,13340949,3117205,4.279779
IBM,IBM,1/31/2013,12795084,4678095,2.735106
IBM,IBM,1/15/2013,14805299,3619758,4.090135
