filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
INN,INN,12/13/2013,1262877,424339,2.976104
INN,INN,11/29/2013,1360545,517166,2.630770
INN,INN,11/15/2013,1376374,585400,2.351168
INN,INN,10/31/2013,1392952,514274,2.708579
INN,INN,10/15/2013,1459063,524006,2.784439
INN,INN,9/30/2013,966214,1113282,1.000000
INN,INN,9/13/2013,1201960,1383296,1.000000
INN,INN,8/30/2013,1154797,290596,3.973892
INN,INN,8/15/2013,829451,273527,3.032428
INN,INN,7/31/2013,995393,229186,4.343167
INN,INN,7/15/2013,1278224,218719,5.844138
INN,INN,6/28/2013,1116403,446564,2.499984
INN,INN,6/14/2013,889111,287892,3.088349
INN,INN,5/31/2013,803129,191313,4.197984
INN,INN,5/15/2013,896114,333225,2.689216
INN,INN,4/30/2013,1009731,300636,3.358650
INN,INN,4/15/2013,1050197,345227,3.042048
INN,INN,3/28/2013,958530,328248,2.920140
INN,INN,3/15/2013,910444,605158,1.504473
INN,INN,2/28/2013,1024429,566523,1.808274
INN,INN,2/15/2013,1034326,450612,2.295381
INN,INN,1/31/2013,988159,661797,1.493145
INN,INN,1/15/2013,1075561,1367603,1.000000
