filename,ticker_in_file,  Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ISRL,ISRL,12/13/2013,17120,1125,15.217778
ISRL,ISRL,11/29/2013,18074,1212,14.912541
ISRL,ISRL,11/15/2013,19144,1492,12.831099
ISRL,ISRL,10/31/2013,21712,2070,10.488889
ISRL,ISRL,10/15/2013,25857,1766,14.641563
ISRL,ISRL,9/30/2013,26833,2329,11.521254
ISRL,ISRL,9/13/2013,27814,1457,19.089911
ISRL,ISRL,8/30/2013,28272,1750,16.155429
ISRL,ISRL,8/15/2013,27668,1366,20.254758
ISRL,ISRL,7/31/2013,28684,1100,26.076364
ISRL,ISRL,7/15/2013,29960,1610,18.608696
ISRL,ISRL,6/28/2013,34907,3140,11.116879
ISRL,ISRL,6/14/2013,34228,833,41.090036
ISRL,ISRL,5/31/2013,31557,1245,25.346988
ISRL,ISRL,5/15/2013,33240,1006,33.041750
ISRL,ISRL,4/30/2013,35032,606,57.808581
ISRL,ISRL,4/15/2013,33299,584,57.018836
ISRL,ISRL,3/28/2013,34569,299,115.615385
ISRL,ISRL,3/15/2013,33910,637,53.233909
ISRL,ISRL,2/28/2013,34668,486,71.333333
ISRL,ISRL,2/15/2013,34996,828,42.265700
ISRL,ISRL,1/31/2013,35262,626,56.329073
ISRL,ISRL,1/15/2013,36011,1051,34.263559
